"행정구역","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년08월_남여 비율"
"서울특별시  (1100000000)","9,488,454","4,472,975","          2.12","4,601,295","4,887,159","          0.94"
"서울특별시 종로구 (1111000000)","143,499","73,866","          1.94","69,408","74,091","          0.94"
"서울특별시 종로구 청운효자동(1111051500)","11,766","5,198","          2.26","5,392","6,374","          0.85"
"서울특별시 종로구 사직동(1111053000)","9,278","4,668","          1.99","4,124","5,154","          0.80"
"서울특별시 종로구 삼청동(1111054000)","2,384","1,188","          2.01","1,130","1,254","          0.90"
"서울특별시 종로구 부암동(1111055000)","9,411","4,232","          2.22","4,476","4,935","          0.91"
"서울특별시 종로구 평창동(1111056000)","17,915","7,418","          2.42","8,345","9,570","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,106","3,049","          2.66","3,757","4,349","          0.86"
"서울특별시 종로구 교남동(1111058000)","9,944","4,434","          2.24","4,579","5,365","          0.85"
"서울특별시 종로구 가회동(1111060000)","3,978","1,968","          2.02","1,830","2,148","          0.85"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,217","5,322","          1.36","4,280","2,937","          1.46"
"서울특별시 종로구 종로5.6가동(1111063000)","5,081","3,448","          1.47","2,701","2,380","          1.13"
"서울특별시 종로구 이화동(1111064000)","7,161","4,315","          1.66","3,394","3,767","          0.90"
"서울특별시 종로구 혜화동(1111065000)","16,390","9,357","          1.75","7,889","8,501","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","4,847","2,864","          1.69","2,590","2,257","          1.15"
"서울특별시 종로구 창신제2동(1111068000)","7,825","4,042","          1.94","4,026","3,799","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,484","2,803","          2.31","3,187","3,297","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","5,832","3,002","          1.94","2,805","3,027","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","9,880","6,558","          1.51","4,903","4,977","          0.99"
"서울특별시 중구 (1114000000)","121,960","64,011","          1.91","59,309","62,651","          0.95"
"서울특별시 중구 소공동(1114052000)","2,232","1,303","          1.71","1,076","1,156","          0.93"
"서울특별시 중구 회현동(1114054000)","4,724","2,692","          1.75","2,443","2,281","          1.07"
"서울특별시 중구 명동(1114055000)","2,899","1,565","          1.85","1,271","1,628","          0.78"
"서울특별시 중구 필동(1114057000)","4,042","2,508","          1.61","2,082","1,960","          1.06"
"서울특별시 중구 장충동(1114058000)","4,691","2,900","          1.62","2,466","2,225","          1.11"
"서울특별시 중구 광희동(1114059000)","5,322","3,482","          1.53","2,689","2,633","          1.02"
"서울특별시 중구 을지로동(1114060500)","1,719","1,344","          1.28","1,045","674","          1.55"
"서울특별시 중구 신당동(1114061500)","7,728","4,863","          1.59","3,794","3,934","          0.96"
"서울특별시 중구 다산동(1114062500)","13,693","6,919","          1.98","6,641","7,052","          0.94"
"서울특별시 중구 약수동(1114063500)","16,405","7,766","          2.11","7,602","8,803","          0.86"
"서울특별시 중구 청구동(1114064500)","13,421","6,292","          2.13","6,372","7,049","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,261","5,373","          1.91","4,972","5,289","          0.94"
"서울특별시 중구 동화동(1114066500)","10,169","4,071","          2.50","4,889","5,280","          0.93"
"서울특별시 중구 황학동(1114067000)","12,645","7,221","          1.75","5,999","6,646","          0.90"
"서울특별시 중구 중림동(1114068000)","12,009","5,712","          2.10","5,968","6,041","          0.99"
"서울특별시 용산구 (1117000000)","222,230","112,074","          1.98","106,686","115,544","          0.92"
"서울특별시 용산구 후암동(1117051000)","16,571","8,433","          1.97","8,069","8,502","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","9,293","5,219","          1.78","4,479","4,814","          0.93"
"서울특별시 용산구 남영동(1117053000)","7,266","5,155","          1.41","4,412","2,854","          1.55"
"서울특별시 용산구 청파동(1117055500)","19,349","11,225","          1.72","9,021","10,328","          0.87"
"서울특별시 용산구 원효로제1동(1117056000)","16,937","9,086","          1.86","7,909","9,028","          0.88"
"서울특별시 용산구 원효로제2동(1117057000)","13,713","6,083","          2.25","6,448","7,265","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,645","4,656","          2.29","5,062","5,583","          0.91"
"서울특별시 용산구 용문동(1117059000)","11,682","5,392","          2.17","5,602","6,080","          0.92"
"서울특별시 용산구 한강로동(1117062500)","21,629","11,644","          1.86","10,256","11,373","          0.90"
"서울특별시 용산구 이촌제1동(1117063000)","25,613","9,522","          2.69","12,022","13,591","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","8,173","3,666","          2.23","3,814","4,359","          0.87"
"서울특별시 용산구 이태원제1동(1117065000)","6,281","3,588","          1.75","3,085","3,196","          0.97"
"서울특별시 용산구 이태원제2동(1117066000)","8,865","4,932","          1.80","4,084","4,781","          0.85"
"서울특별시 용산구 한남동(1117068500)","20,191","10,870","          1.86","9,709","10,482","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","12,894","5,294","          2.44","6,186","6,708","          0.92"
"서울특별시 용산구 보광동(1117070000)","13,128","7,309","          1.80","6,528","6,600","          0.99"
"서울특별시 성동구 (1120000000)","283,603","134,616","          2.11","138,050","145,553","          0.95"
"서울특별시 성동구 왕십리제2동(1120052000)","16,296","7,406","          2.20","7,866","8,430","          0.93"
"서울특별시 성동구 왕십리도선동(1120053500)","26,603","12,146","          2.19","12,549","14,054","          0.89"
"서울특별시 성동구 마장동(1120054000)","22,321","11,100","          2.01","11,003","11,318","          0.97"
"서울특별시 성동구 사근동(1120055000)","12,157","8,255","          1.47","6,351","5,806","          1.09"
"서울특별시 성동구 행당제1동(1120056000)","13,834","6,503","          2.13","6,648","7,186","          0.93"
"서울특별시 성동구 행당제2동(1120057000)","23,109","9,257","          2.50","10,800","12,309","          0.88"
"서울특별시 성동구 응봉동(1120058000)","15,187","6,035","          2.52","7,250","7,937","          0.91"
"서울특별시 성동구 금호1가동(1120059000)","15,054","6,522","          2.31","7,185","7,869","          0.91"
"서울특별시 성동구 금호2.3가동(1120061500)","22,453","10,062","          2.23","10,697","11,756","          0.91"
"서울특별시 성동구 금호4가동(1120062000)","14,203","6,325","          2.25","6,729","7,474","          0.90"
"서울특별시 성동구 옥수동(1120064500)","25,781","10,820","          2.38","11,982","13,799","          0.87"
"서울특별시 성동구 성수1가제1동(1120065000)","16,333","7,747","          2.11","8,109","8,224","          0.99"
"서울특별시 성동구 성수1가제2동(1120066000)","12,233","5,998","          2.04","6,006","6,227","          0.96"
"서울특별시 성동구 성수2가제1동(1120067000)","15,510","8,081","          1.92","8,103","7,407","          1.09"
