자치구,성별,연령대,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수,연령대_1,월
종로구,1,25,2.3,3.9,55.9,553.5,2.2,8797.1,22.31,0.2,117.7,8.9,13.0,4.2,19.2,27.4,12.4,1061521.6,312379.8,648.0,432.8,13.4,66.5,104.1,103.4,32.0,0.3,-0.1,15.9,3.2,1.7,20,2
종로구,1,30,2.2,3.1,59.4,550.9,2.8,6963.9,28.79,0.2,138.0,13.6,19.0,5.8,16.0,28.0,12.9,1029707.3,317029.6,744.7,453.3,13.0,58.9,129.2,126.8,32.2,0.2,-0.1,15.4,4.4,1.7,30,2
종로구,1,35,2.0,2.7,66.1,537.8,2.6,7465.6,23.7,0.1,110.6,12.0,19.0,6.3,10.2,30.1,11.1,1003179.0,301431.5,775.9,387.8,12.9,54.0,119.9,131.5,30.5,0.1,-0.2,12.3,3.6,1.7,30,2
종로구,1,40,1.9,2.6,60.6,555.9,2.5,5500.0,20.45,0.1,125.7,15.8,20.7,7.1,9.3,30.0,10.8,966442.5,285096.1,950.5,425.3,13.2,49.4,119.7,121.6,30.8,0.1,-0.2,10.6,3.3,1.7,40,2
종로구,1,45,1.8,2.5,59.7,524.1,2.5,6770.3,20.15,0.0,118.5,20.9,21.0,7.1,6.4,30.7,11.3,997628.7,307529.5,941.6,445.3,12.9,51.0,95.5,117.5,26.7,-0.1,-0.3,9.4,4.0,1.7,40,2
종로구,1,50,1.7,2.3,58.3,530.5,2.2,7253.1,17.9,-0.1,113.4,18.0,18.0,7.2,5.1,29.8,10.9,1040372.2,310342.5,828.1,366.2,11.8,40.1,83.8,83.7,21.0,-0.1,-0.4,6.7,3.5,1.7,50,2
종로구,1,55,1.7,2.2,60.8,494.2,2.3,5780.1,27.14,0.0,97.3,16.7,20.6,7.1,3.4,32.1,11.1,1058334.8,320758.0,970.2,429.3,13.1,39.8,68.9,74.0,21.1,-0.1,-0.5,5.7,3.3,1.7,50,2
종로구,1,65,1.7,2.3,63.2,542.0,2.1,6701.8,25.77,0.0,80.8,14.2,18.1,6.1,2.9,28.1,10.3,1092717.7,326295.2,700.9,312.8,12.6,35.8,36.7,40.4,18.2,-0.1,-0.6,6.1,3.3,0.0,60,2
종로구,1,75,1.5,1.0,0.0,0.0,3.3,7222.2,21.8,-0.2,64.6,16.4,11.7,4.3,1.2,17.9,7.6,1356573.1,431033.3,434.2,226.5,8.6,29.8,29.9,35.4,11.1,-0.4,-0.6,12.7,1.7,0.0,70,2
종로구,2,25,2.0,3.3,58.6,532.7,2.8,7166.7,19.9,0.1,103.9,14.4,12.6,4.7,10.6,25.3,11.8,1060679.9,312182.0,589.4,408.4,11.5,38.1,91.7,117.5,25.1,0.1,-0.1,13.3,2.1,1.7,20,2
종로구,2,30,2.1,3.1,52.2,555.8,2.6,9100.0,23.72,0.1,109.3,11.3,13.9,5.4,9.5,26.2,11.6,1055391.1,309082.2,659.6,432.5,12.5,32.3,100.6,134.8,29.3,0.1,-0.1,13.5,3.9,1.7,30,2
종로구,2,35,1.9,2.7,50.4,523.5,2.5,6153.9,26.53,0.0,102.2,13.6,14.7,5.8,8.3,24.8,10.3,1087307.4,336402.9,577.6,362.4,10.3,35.1,93.5,143.2,27.3,0.0,-0.2,11.5,3.2,1.7,30,2
종로구,2,40,1.8,2.8,56.0,545.3,2.4,6966.7,16.5,0.0,121.3,15.7,16.2,6.6,7.3,23.1,9.5,1133145.5,340831.8,512.2,339.6,8.8,36.3,96.0,139.1,24.8,0.0,-0.2,9.7,4.4,1.7,40,2
종로구,2,45,1.7,2.7,53.0,480.9,2.4,8661.9,19.26,-0.1,132.8,19.3,17.4,6.6,4.0,23.4,8.6,1191268.1,369778.2,558.7,323.3,9.1,33.7,78.4,108.3,20.7,-0.1,-0.4,8.2,2.4,1.7,40,2
종로구,2,50,1.7,2.6,58.7,488.6,1.9,7363.6,14.09,-0.1,120.3,15.3,17.0,6.0,4.2,24.9,9.1,1195377.4,379438.9,580.3,321.8,10.1,33.6,67.3,90.5,16.8,-0.1,-0.4,7.9,2.8,1.7,50,2
종로구,2,55,1.7,2.4,53.2,469.4,2.1,7711.1,18.53,-0.1,120.9,16.6,16.2,5.9,2.4,23.9,8.8,1183990.6,372280.6,572.8,294.0,9.0,30.0,48.0,67.5,12.9,-0.1,-0.5,5.3,2.2,1.7,50,2
종로구,2,65,1.8,2.8,71.1,517.6,3.3,4866.7,22.41,-0.1,123.7,15.2,14.3,4.8,1.7,19.4,7.7,1273264.1,384587.6,445.1,252.0,8.1,30.8,25.9,37.8,12.9,-0.2,-0.6,5.9,0.0,1.7,60,2
종로구,2,70,1.7,1.3,0.0,0.0,1.7,13333.3,22.22,-0.2,101.1,12.5,11.9,3.8,1.3,15.6,6.8,1351841.6,408724.8,332.5,185.0,7.0,29.5,19.8,27.1,10.5,-0.3,-0.6,3.3,0.0,0.0,70,2
종로구,2,75,1.5,1.0,0.0,0.0,1.7,5833.3,14.22,-0.3,93.5,11.7,9.8,2.9,0.8,11.6,5.2,1492423.2,481069.7,242.4,151.7,5.3,26.0,17.2,29.7,11.2,-0.5,-0.6,10.0,0.0,1.7,70,2
