관측소 번호,관측소 명,위도,경도,Date,tph_level_1,tph_time_1,hl_code_1,tph_level_2,tph_time_2,hl_code_2,tph_level_3,tph_time_3,hl_code_3,tph_level_4,tph_time_4,hl_code_4
SO_0732,남애항,37.944,128.788,,,,,,,,,,,,,
SO_0733,강릉항,37.772,128.951,,,,,,,,,,,,,
SO_0734,궁촌항,37.327,129.27,,,,,,,,,,,,,
SO_0735,죽변항,37.054,129.423,,,,,,,,,,,,,
SO_0736,축산항,36.509,129.448,,,,,,,,,,,,,
SO_0737,강구항,36.358,129.391,,,,,,,,,,,,,
SO_0555,서망항,34.366,126.134,,,,,,,,,,,,,
SO_0739,도장항,34.367,127.011,,,,,,,,,,,,,
SO_0740,보옥항,34.129,126.513,,,,,,,,,,,,,
SO_0699,천리포항,36.803,126.146,,,,,,,,,,,,,
SO_0562,승봉도,37.169,126.29,,,,,,,,,,,,,
SO_0573,양포항,35.881,129.527,,,,,,,,,,,,,
SO_0581,강양항,35.39,129.344,,,,,,,,,,,,,
SO_0571,거제외포,34.939,128.718,,,,,,,,,,,,,
SO_0578,소매물도,34.621,128.548,,,,,,,,,,,,,
SO_0567,쉬미항,34.504,126.183,,,,,,,,,,,,,
SO_0576,화봉리,34.661,126.256,,,,,,,,,,,,,
SO_0564,국화도,37.06,126.56,,,,,,,,,,,,,
SO_0563,울도,37.035,125.995,,,,,,,,,,,,,
SO_0706,청산도,34.18,126.856,,,,,,,,,,,,,
SO_0708,안도항,34.479,127.797,,,,,,,,,,,,,
SO_0712,능양항,34.812,128.245,,,,,,,,,,,,,
SO_0701,홍도항,34.681,125.195,,,,,,,,,,,,,
SO_0702,진도옥도,34.35,126.018,,,,,,,,,,,,,
SO_0703,땅끝항,34.298,126.531,,,,,,,,,,,,,
SO_0704,소안항,34.15,126.631,,,,,,,,,,,,,
DT_0040,독도,37.238,131.867,,,,,,,,,,,,,
DT_0002,평택,36.966,126.822,,,,,,,,,,,,,
DT_0003,영광,35.426,126.42,,,,,,,,,,,,,
