,신선도,신선도예측,신선도 정답 여부,종류,종류예측,종류 정답 여부,파일명
0,stale,fresh,False,orange,banana,False,/Users/jongya/Desktop/data/data/archive/stale_orange/naver_0112.jpg
1,stale,fresh,False,apple,banana,False,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-08 at 2.37.13 PM.png
2,fresh,fresh,True,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0361.jpg
3,fresh,fresh,True,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0359.jpg
4,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0460.jpg
5,stale,fresh,False,mandarin,orange,False,/Users/jongya/Desktop/data/data/archive/stale_mandarin/istockphoto-1310320966-612x612.jpg
6,fresh,fresh,True,banana,banana,True,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.53.46 PM.png
7,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.42.44 PM.png
8,fresh,fresh,True,banana,banana,True,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.52.50 PM.png
9,fresh,fresh,True,cherryTomato,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/Tre_049.jpg
10,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.49.32 PM.png
11,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.00.44 PM.png
12,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0543.jpg
13,fresh,fresh,True,mandarin,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0148.jpg
14,fresh,fresh,True,cherryTomato,strawberry,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/Tre_019.jpg
15,stale,fresh,False,grape,grape,True,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0481.jpg
16,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.17.05 AM.png
17,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 8.53.09 PM.png
18,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.21.51 PM.png
19,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0025.jpg
20,stale,fresh,False,orange,orange,True,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.37.41 PM.png
21,stale,fresh,False,orange,apple,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.29.58 PM.png
22,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0038.jpg
23,fresh,fresh,True,mandarin,mandarin,True,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0016.jpg
24,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0382.jpg
25,stale,fresh,False,grape,banana,False,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0138.jpg
26,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 8.52.01 PM.png
27,stale,fresh,False,capsicum,pepper,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220607_091035.jpg
28,stale,fresh,False,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0352.jpg
29,fresh,fresh,True,banana,banana,True,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.59.48 PM.png
30,fresh,fresh,True,mandarin,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0239.jpg
31,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0067.jpg
32,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.11.52 PM.png
33,fresh,fresh,True,mandarin,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0350.jpg
34,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 10.02.09 PM.png
35,stale,fresh,False,pepper,strawberry,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/google_0002.jpg
36,fresh,fresh,True,grape,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0364.jpg
37,fresh,fresh,True,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0337.jpg
38,fresh,fresh,True,capsicum,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/naver_0268.jpg
39,fresh,fresh,True,mandarin,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0303.jpg
40,fresh,fresh,True,banana,banana,True,/Users/jongya/Desktop/data/data/archive/fresh_banana/naver_0012.jpg
41,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/naver_0109.jpg
