,시도명,연도,PM10 농도,PM2.5 농도,폐암,인구수,폐암환자 비율
0,강원,2009,,,621.0,1512870.0,0.0004104780979198477
1,강원,2010,50.916666666666664,,911.0,1529818.0,0.0005954956733415348
2,강원,2011,49.333333333333336,,1079.0,1536448.0,0.0007022691298371308
3,강원,2012,46.666666666666664,,1459.0,1538630.0,0.0009482461670447086
4,강원,2013,50.5,,1675.0,1542263.0,0.0010860663842677935
5,강원,2014,50.75,,1841.0,1544442.0,0.001192016275133673
6,강원,2015,49.666666666666664,26.5,2051.0,1549507.0,0.0013236468115342492
7,강원,2016,46.833333333333336,28.083333333333332,2245.0,1550806.0,0.001447634326924193
8,강원,2017,44.083333333333336,25.583333333333332,2457.0,1550142.0,0.0015850160823976127
9,강원,2018,37.833333333333336,22.416666666666668,2800.0,1543052.0,0.00181458563936925
10,강원,2019,38.083333333333336,21.333333333333332,3169.0,1541502.0,0.002055787147859685
11,강원,2020,30.166666666666668,17.583333333333332,3480.0,1542840.0,0.0022555806175624175
12,경기,2009,,,5040.0,11460610.0,0.0004397671677162036
13,경기,2010,57.916666666666664,,6081.0,11786622.0,0.0005159239008428369
14,경기,2011,57.166666666666664,,7158.0,11937415.0,0.000599627306246788
15,경기,2012,49.333333333333336,,9155.0,12093299.0,0.0007570308151646627
16,경기,2013,54.083333333333336,,10285.0,12234630.0,0.0008406465908654369
17,경기,2014,54.25,,11383.0,12357830.0,0.0009211164095961832
18,경기,2015,52.166666666666664,25.833333333333332,12637.0,12522606.0,0.001009134999536039
19,경기,2016,52.583333333333336,27.916666666666668,14483.0,12716780.0,0.0011388889325756992
20,경기,2017,51.166666666666664,27.166666666666668,17247.0,12873895.0,0.0013396877945641159
21,경기,2018,44.166666666666664,25.166666666666668,19960.0,13077153.0,0.0015263261047721932
22,경기,2019,46.166666666666664,26.0,22648.0,13239666.0,0.0017106171711582451
23,경기,2020,38.666666666666664,21.333333333333332,25035.0,13427014.0,0.0018645247558392358
24,경남,2009,,,1377.0,3250176.0,0.00042366936436672966
25,경남,2010,45.5,,1852.0,3290536.0,0.0005628262386431876
26,경남,2011,45.25,,2090.0,3308765.0,0.0006316556177304825
27,경남,2012,42.083333333333336,,2771.0,3319314.0,0.0008348110483069694
28,경남,2013,47.416666666666664,,3103.0,3333820.0,0.0009307641084401677
29,경남,2014,47.666666666666664,,3335.0,3350257.0,0.0009954460210067466
30,경남,2015,45.583333333333336,25.5,3719.0,3364702.0,0.0011052984781416007
31,경남,2016,44.666666666666664,24.583333333333332,4035.0,3373871.0,0.0011959556248593974
32,경남,2017,42.583333333333336,22.833333333333332,4632.0,3380404.0,0.0013702504197723113
33,경남,2018,41.5,20.166666666666668,5230.0,3373988.0,0.0015500944283145049
34,경남,2019,38.5,18.583333333333332,5871.0,3362553.0,0.0017459947843201282
35,경남,2020,29.0,16.0,6309.0,3340216.0,0.0018888000057481313
36,경북,2009,,,1250.0,2669876.0,0.0004681865375021162
37,경북,2010,46.833333333333336,,1862.0,2689920.0,0.0006922138948370212
38,경북,2011,47.833333333333336,,2183.0,2699195.0,0.0008087596487100784
39,경북,2012,45.166666666666664,,2913.0,2698353.0,0.0010795474128107035
40,경북,2013,50.083333333333336,,3199.0,2699440.0,0.0011850606051625522
41,경북,2014,48.75,,3544.0,2700794.0,0.0013122067066203495
42,경북,2015,44.583333333333336,,3788.0,2702826.0,0.0014014960637495717
43,경북,2016,39.916666666666664,21.75,4085.0,2700398.0,0.001512739973885331
44,경북,2017,39.833333333333336,23.5,4770.0,2691706.0,0.001772110327056521
45,경북,2018,43.833333333333336,24.416666666666668,5271.0,2676831.0,0.001969119455057118
46,경북,2019,41.083333333333336,20.666666666666668,5839.0,2665836.0,0.0021903072807179435
47,경북,2020,31.166666666666668,17.25,6379.0,2639422.0,0.002416817015240458
48,광주,2009,,,511.0,1433640.0,0.0003564353673167601
49,광주,2010,45.25,,687.0,1454636.0,0.0004722831003770015
50,광주,2011,42.75,,782.0,1463464.0,0.0005343486413058333
51,광주,2012,38.083333333333336,,1049.0,1469216.0,0.0007139862348354497
