"시점","구분(1)",구분(2),데이터
"2010.01","서울특별시",서울특별시,59
"2010.01","대구광역시",대구광역시,56
"2010.01","인천광역시",인천광역시,64
"2010.01","광주광역시",광주광역시,46
"2010.01","대전광역시",대전광역시,48
"2010.01","울산광역시",울산광역시,46
"2010.01","경기도",도평균,68
"2010.01","강원도",도평균,62
"2010.01","충청북도",도평균,77
"2010.01","충청남도",도평균,45
"2010.01","전라북도",도평균,55
"2010.01","전라남도",도평균,46
"2010.01","경상북도",도평균,50
"2010.01","경상남도",도평균,45
"2010.01","제주특별자치도",도평균,54
"2010.02","서울특별시",서울특별시,50
"2010.02","대구광역시",대구광역시,49
"2010.02","인천광역시",인천광역시,54
"2010.02","광주광역시",광주광역시,39
"2010.02","대전광역시",대전광역시,39
"2010.02","울산광역시",울산광역시,44
"2010.02","경기도",도평균,56
"2010.02","강원도",도평균,55
"2010.02","충청북도",도평균,62
"2010.02","충청남도",도평균,40
"2010.02","전라북도",도평균,47
"2010.02","전라남도",도평균,40
"2010.02","경상북도",도평균,47
"2010.02","경상남도",도평균,42
"2010.02","제주특별자치도",도평균,41
"2010.03","서울특별시",서울특별시,61
"2010.03","대구광역시",대구광역시,69
"2010.03","인천광역시",인천광역시,67
"2010.03","광주광역시",광주광역시,65
"2010.03","대전광역시",대전광역시,52
"2010.03","울산광역시",울산광역시,60
"2010.03","경기도",도평균,67
"2010.03","강원도",도평균,70
"2010.03","충청북도",도평균,73
"2010.03","충청남도",도평균,57
"2010.03","전라북도",도평균,62
"2010.03","전라남도",도평균,58
"2010.03","경상북도",도평균,62
"2010.03","경상남도",도평균,61
"2010.03","제주특별자치도",도평균,71
"2010.04","서울특별시",서울특별시,49
"2010.04","대구광역시",대구광역시,47
"2010.04","인천광역시",인천광역시,55
"2010.04","광주광역시",광주광역시,42
"2010.04","대전광역시",대전광역시,41
"2010.04","울산광역시",울산광역시,47
"2010.04","경기도",도평균,57
"2010.04","강원도",도평균,58
"2010.04","충청북도",도평균,63
"2010.04","충청남도",도평균,47
"2010.04","전라북도",도평균,52
"2010.04","전라남도",도평균,39
"2010.04","경상북도",도평균,48
"2010.04","경상남도",도평균,45
"2010.04","제주특별자치도",도평균,47
"2010.05","서울특별시",서울특별시,56
"2010.05","대구광역시",대구광역시,55
"2010.05","인천광역시",인천광역시,62
"2010.05","광주광역시",광주광역시,62
"2010.05","대전광역시",대전광역시,52
"2010.05","울산광역시",울산광역시,54
"2010.05","경기도",도평균,66
"2010.05","강원도",도평균,60
"2010.05","충청북도",도평균,67
"2010.05","충청남도",도평균,52
"2010.05","전라북도",도평균,66
"2010.05","전라남도",도평균,51
"2010.05","경상북도",도평균,54
"2010.05","경상남도",도평균,52
"2010.05","제주특별자치도",도평균,58
"2010.06","서울특별시",서울특별시,51
"2010.06","대구광역시",대구광역시,47
"2010.06","인천광역시",인천광역시,57
"2010.06","광주광역시",광주광역시,39
"2010.06","대전광역시",대전광역시,40
"2010.06","울산광역시",울산광역시,50
"2010.06","경기도",도평균,62
"2010.06","강원도",도평균,48
"2010.06","충청북도",도평균,60
"2010.06","충청남도",도평균,46
"2010.06","전라북도",도평균,61
"2010.06","전라남도",도평균,37
"2010.06","경상북도",도평균,44
"2010.06","경상남도",도평균,43
"2010.06","제주특별자치도",도평균,37
"2010.07","서울특별시",서울특별시,33
