,시점,행정구역(시군구)별,총인구수 (명),인구수,연도,시도명
0,2009.0,서울특별시,10208302,10208302,2009,서울
1,2009.0,부산광역시,3543030,3543030,2009,부산
2,2009.0,대구광역시,2489781,2489781,2009,대구
3,2009.0,인천광역시,2710579,2710579,2009,인천
4,2009.0,광주광역시,1433640,1433640,2009,광주
5,2009.0,대전광역시,1484180,1484180,2009,대전
6,2009.0,울산광역시,1114866,1114866,2009,울산
8,2009.0,경기도,11460610,11460610,2009,경기
9,2009.0,강원도,1512870,1512870,2009,강원
10,2009.0,충청북도,1527478,1527478,2009,충북
11,2009.0,충청남도,2037582,2037582,2009,충남
12,2009.0,전라북도,1854508,1854508,2009,전북
13,2009.0,전라남도,1913004,1913004,2009,전남
14,2009.0,경상북도,2669876,2669876,2009,경북
15,2009.0,경상남도,3250176,3250176,2009,경남
16,2009.0,제주특별자치도,562663,562663,2009,제주
17,2010.0,서울특별시,10312545,10312545,2010,서울
18,2010.0,부산광역시,3567910,3567910,2010,부산
19,2010.0,대구광역시,2511676,2511676,2010,대구
20,2010.0,인천광역시,2758296,2758296,2010,인천
21,2010.0,광주광역시,1454636,1454636,2010,광주
22,2010.0,대전광역시,1503664,1503664,2010,대전
23,2010.0,울산광역시,1126298,1126298,2010,울산
25,2010.0,경기도,11786622,11786622,2010,경기
26,2010.0,강원도,1529818,1529818,2010,강원
27,2010.0,충청북도,1549528,1549528,2010,충북
28,2010.0,충청남도,2075514,2075514,2010,충남
29,2010.0,전라북도,1868963,1868963,2010,전북
30,2010.0,전라남도,1918485,1918485,2010,전남
31,2010.0,경상북도,2689920,2689920,2010,경북
32,2010.0,경상남도,3290536,3290536,2010,경남
33,2010.0,제주특별자치도,571255,571255,2010,제주
34,2011.0,서울특별시,10249679,10249679,2011,서울
35,2011.0,부산광역시,3550963,3550963,2011,부산
36,2011.0,대구광역시,2507271,2507271,2011,대구
37,2011.0,인천광역시,2801274,2801274,2011,인천
38,2011.0,광주광역시,1463464,1463464,2011,광주
39,2011.0,대전광역시,1515603,1515603,2011,대전
40,2011.0,울산광역시,1135494,1135494,2011,울산
42,2011.0,경기도,11937415,11937415,2011,경기
43,2011.0,강원도,1536448,1536448,2011,강원
44,2011.0,충청북도,1562903,1562903,2011,충북
45,2011.0,충청남도,2101284,2101284,2011,충남
46,2011.0,전라북도,1874031,1874031,2011,전북
47,2011.0,전라남도,1914339,1914339,2011,전남
48,2011.0,경상북도,2699195,2699195,2011,경북
49,2011.0,경상남도,3308765,3308765,2011,경남
50,2011.0,제주특별자치도,576156,576156,2011,제주
51,2012.0,서울특별시,10195318,10195318,2012,서울
52,2012.0,부산광역시,3538484,3538484,2012,부산
53,2012.0,대구광역시,2505644,2505644,2012,대구
54,2012.0,인천광역시,2843981,2843981,2012,인천
55,2012.0,광주광역시,1469216,1469216,2012,광주
56,2012.0,대전광역시,1524583,1524583,2012,대전
57,2012.0,울산광역시,1147256,1147256,2012,울산
58,2012.0,세종특별자치시,113117,113117,2012,충남
59,2012.0,경기도,12093299,12093299,2012,경기
60,2012.0,강원도,1538630,1538630,2012,강원
61,2012.0,충청북도,1565628,1565628,2012,충북
62,2012.0,충청남도,2028777,2028777,2012,충남
63,2012.0,전라북도,1873341,1873341,2012,전북
64,2012.0,전라남도,1909618,1909618,2012,전남
65,2012.0,경상북도,2698353,2698353,2012,경북
66,2012.0,경상남도,3319314,3319314,2012,경남
67,2012.0,제주특별자치도,583713,583713,2012,제주
68,2013.0,서울특별시,10143645,10143645,2013,서울
69,2013.0,부산광역시,3527635,3527635,2013,부산
70,2013.0,대구광역시,2501588,2501588,2013,대구
71,2013.0,인천광역시,2879782,2879782,2013,인천
72,2013.0,광주광역시,1472910,1472910,2013,광주
73,2013.0,대전광역시,1532811,1532811,2013,대전
74,2013.0,울산광역시,1156480,1156480,2013,울산
75,2013.0,세종특별자치시,122153,122153,2013,충남
76,2013.0,경기도,12234630,12234630,2013,경기
77,2013.0,강원도,1542263,1542263,2013,강원
78,2013.0,충청북도,1572732,1572732,2013,충북
79,2013.0,충청남도,2047631,2047631,2013,충남
80,2013.0,전라북도,1872965,1872965,2013,전북
81,2013.0,전라남도,1907172,1907172,2013,전남
82,2013.0,경상북도,2699440,2699440,2013,경북
83,2013.0,경상남도,3333820,3333820,2013,경남
84,2013.0,제주특별자치도,593806,593806,2013,제주
85,2014.0,서울특별시,10103233,10103233,2014,서울
86,2014.0,부산광역시,3519401,3519401,2014,부산
87,2014.0,대구광역시,2493264,2493264,2014,대구
88,2014.0,인천광역시,2902608,2902608,2014,인천
89,2014.0,광주광역시,1475884,1475884,2014,광주
90,2014.0,대전광역시,1531809,1531809,2014,대전
91,2014.0,울산광역시,1166377,1166377,2014,울산
92,2014.0,세종특별자치시,156125,156125,2014,충남
93,2014.0,경기도,12357830,12357830,2014,경기
94,2014.0,강원도,1544442,1544442,2014,강원
95,2014.0,충청북도,1578933,1578933,2014,충북
96,2014.0,충청남도,2062273,2062273,2014,충남
97,2014.0,전라북도,1871560,1871560,2014,전북
98,2014.0,전라남도,1905780,1905780,2014,전남
99,2014.0,경상북도,2700794,2700794,2014,경북
100,2014.0,경상남도,3350257,3350257,2014,경남
101,2014.0,제주특별자치도,607346,607346,2014,제주
102,2015.0,서울특별시,10022181,10022181,2015,서울
103,2015.0,부산광역시,3513777,3513777,2015,부산
104,2015.0,대구광역시,2487829,2487829,2015,대구
105,2015.0,인천광역시,2925815,2925815,2015,인천
106,2015.0,광주광역시,1472199,1472199,2015,광주
107,2015.0,대전광역시,1518775,1518775,2015,대전
