,연도,시도명,PM10 농도,PM2.5 농도,폐암,인구수,폐암환자 비율
0,2009,강원,,,621,1512870,0.000410478
1,2010,강원,50.91666667,,911,1529818,0.000595496
2,2011,강원,49.33333333,,1079,1536448,0.000702269
3,2012,강원,46.66666667,,1459,1538630,0.000948246
4,2013,강원,50.5,,1675,1542263,0.001086066
5,2014,강원,50.75,,1841,1544442,0.001192016
6,2015,강원,49.66666667,26.5,2051,1549507,0.001323647
7,2016,강원,46.83333333,28.08333333,2245,1550806,0.001447634
8,2017,강원,44.08333333,25.58333333,2457,1550142,0.001585016
9,2018,강원,37.83333333,22.41666667,2800,1543052,0.001814586
10,2019,강원,38.08333333,21.33333333,3169,1541502,0.002055787
11,2020,강원,30.16666667,17.58333333,3480,1542840,0.002255581
12,2009,경기,,,5040,11460610,0.000439767
13,2010,경기,57.91666667,,6081,11786622,0.000515924
14,2011,경기,57.16666667,,7158,11937415,0.000599627
15,2012,경기,49.33333333,,9155,12093299,0.000757031
16,2013,경기,54.08333333,,10285,12234630,0.000840647
17,2014,경기,54.25,,11383,12357830,0.000921116
18,2015,경기,52.16666667,25.83333333,12637,12522606,0.001009135
19,2016,경기,52.58333333,27.91666667,14483,12716780,0.001138889
20,2017,경기,51.16666667,27.16666667,17247,12873895,0.001339688
21,2018,경기,44.16666667,25.16666667,19960,13077153,0.001526326
22,2019,경기,46.16666667,26,22648,13239666,0.001710617
23,2020,경기,38.66666667,21.33333333,25035,13427014,0.001864525
24,2009,경남,,,1377,3250176,0.000423669
25,2010,경남,45.5,,1852,3290536,0.000562826
26,2011,경남,45.25,,2090,3308765,0.000631656
27,2012,경남,42.08333333,,2771,3319314,0.000834811
28,2013,경남,47.41666667,,3103,3333820,0.000930764
29,2014,경남,47.66666667,,3335,3350257,0.000995446
30,2015,경남,45.58333333,25.5,3719,3364702,0.001105298
31,2016,경남,44.66666667,24.58333333,4035,3373871,0.001195956
32,2017,경남,42.58333333,22.83333333,4632,3380404,0.00137025
33,2018,경남,41.5,20.16666667,5230,3373988,0.001550094
34,2019,경남,38.5,18.58333333,5871,3362553,0.001745995
35,2020,경남,29,16,6309,3340216,0.0018888
36,2009,경북,,,1250,2669876,0.000468187
37,2010,경북,46.83333333,,1862,2689920,0.000692214
38,2011,경북,47.83333333,,2183,2699195,0.00080876
39,2012,경북,45.16666667,,2913,2698353,0.001079547
40,2013,경북,50.08333333,,3199,2699440,0.001185061
41,2014,경북,48.75,,3544,2700794,0.001312207
42,2015,경북,44.58333333,,3788,2702826,0.001401496
43,2016,경북,39.91666667,21.75,4085,2700398,0.00151274
44,2017,경북,39.83333333,23.5,4770,2691706,0.00177211
45,2018,경북,43.83333333,24.41666667,5271,2676831,0.001969119
46,2019,경북,41.08333333,20.66666667,5839,2665836,0.002190307
47,2020,경북,31.16666667,17.25,6379,2639422,0.002416817
48,2009,광주,,,511,1433640,0.000356435
49,2010,광주,45.25,,687,1454636,0.000472283
50,2011,광주,42.75,,782,1463464,0.000534349
51,2012,광주,38.08333333,,1049,1469216,0.000713986
52,2013,광주,42.25,,1146,1472910,0.000778052
53,2014,광주,40.91666667,,1263,1475884,0.000855758
54,2015,광주,41.58333333,26,1383,1472199,0.000939411
55,2016,광주,40.08333333,23.41666667,1559,1469214,0.001061112
56,2017,광주,40.41666667,24.16666667,1777,1463770,0.001213989
57,2018,광주,40.91666667,24,2009,1459336,0.001376653
58,2019,광주,42,23.5,2191,1456468,0.001504324
59,2020,광주,29.75,18,2419,1450062,0.001668205
60,2009,기타,,,5,,
61,2010,기타,,,7,,
67,2012,기타,,,16,,
68,2013,기타,,,7,,
69,2014,기타,,,10,,
70,2015,기타,,,8,,
71,2009,대구,,,999,2489781,0.00040124
72,2010,대구,51.08333333,,1274,2511676,0.000507231
73,2011,대구,46.66666667,,1538,2507271,0.000613416
74,2012,대구,42.5,,2045,2505644,0.000816157
75,2013,대구,45.25,,2253,2501588,0.000900628
76,2014,대구,45.16666667,,2457,2493264,0.000985455
77,2015,대구,45.58333333,25.41666667,2697,2487829,0.001084078
78,2016,대구,43.08333333,24.5,2968,2484557,0.001194579
79,2017,대구,41.91666667,22.75,3457,2475231,0.001396637
80,2018,대구,39.91666667,22.25,3895,2461769,0.001582196
81,2019,대구,39,22.5,4325,2438031,0.001773973
82,2020,대구,34,20,4767,2418346,0.001971182
83,2009,대전,,,651,1484180,0.000438626
84,2010,대전,43.41666667,,720,1503664,0.00047883
85,2011,대전,44.08333333,,838,1515603,0.000552915
86,2012,대전,39.16666667,,1074,1524583,0.000704455
87,2013,대전,41.66666667,,1211,1532811,0.000790052
88,2014,대전,41,,1370,1531809,0.000894367
89,2015,대전,45.25,28.33333333,1464,1518775,0.000963935
90,2016,대전,43.83333333,22.5,1661,1514370,0.001096826
91,2017,대전,45.33333333,21.08333333,1921,1502227,0.001278768
92,2018,대전,43.66666667,21.66666667,2160,1489936,0.001449727
93,2019,대전,41.16666667,22.25,2386,1474870,0.00161777
94,2020,대전,32.58333333,17.41666667,2606,1463882,0.001780198
95,2009,부산,,,1269,3543030,0.000358168
96,2010,부산,,,1711,3567910,0.000479552
97,2011,부산,,,1988,3550963,0.000559848
98,2012,부산,,,2696,3538484,0.000761908
99,2013,부산,,,3020,3527635,0.000856098
100,2014,부산,,,3269,3519401,0.000928851
101,2015,부산,,,3604,3513777,0.001025677
102,2016,부산,,,4001,3498529,0.001143624
103,2017,부산,,,4647,3470653,0.001338941
104,2018,부산,,,5280,3441453,0.001534236
105,2019,부산,,,5936,3413841,0.001738804
106,2020,부산,,,6418,3391946,0.001892129
107,2009,서울,,,7292,10208302,0.000714321
108,2010,서울,49.16666667,,5615,10312545,0.000544482
109,2011,서울,47.16666667,,6635,10249679,0.000647337
110,2012,서울,41,,8415,10195318,0.000825379
111,2013,서울,44.5,,9393,10143645,0.000925998
112,2014,서울,45.91666667,,10356,10103233,0.001025018
113,2015,서울,45.5,23.16666667,11300,10022181,0.001127499
114,2016,서울,47.83333333,26.08333333,12334,9930616,0.001242018
115,2017,서울,43.83333333,24.5,14195,9857426,0.001440031
116,2018,서울,39.75,23,16028,9765623,0.001641268
117,2019,서울,41.58333333,24.83333333,17872,9729107,0.001836962
118,2020,서울,35.25,20.75,19512,9668465,0.002018107
119,2012,세종,,,113,,
120,2013,세종,,,127,,
121,2014,세종,,,167,,
122,2015,세종,,,226,,
123,2016,세종,,,274,,
124,2017,세종,,,303,,
125,2018,세종,,,353,,
126,2019,세종,,,428,,
127,2020,세종,,,502,,
128,2009,울산,,,424,1114866,0.000380315
129,2010,울산,47.66666667,,451,1126298,0.000400427
130,2011,울산,49.5,,542,1135494,0.000477325
131,2012,울산,45.58333333,,725,1147256,0.000631943
132,2013,울산,47.08333333,,821,1156480,0.000709913
133,2014,울산,46.25,,919,1166377,0.00078791
134,2015,울산,45.16666667,24.66666667,1059,1173534,0.000902402
135,2016,울산,43.16666667,23.16666667,1221,1172304,0.001041539
136,2017,울산,42.66666667,24.75,1463,1165132,0.001255652
137,2018,울산,40.08333333,23.16666667,1652,1155623,0.001429532
138,2019,울산,36.75,20.33333333,1852,1148019,0.001613214
139,2020,울산,30.25,17,2013,1136017,0.001771981
140,2009,인천,,,1015,2710579,0.000374459
141,2010,인천,55.25,,1174,2758296,0.000425625
142,2011,인천,55,,1430,2801274,0.000510482
143,2012,인천,47.33333333,,1943,2843981,0.000683197
144,2013,인천,49.08333333,,2162,2879782,0.000750751
145,2014,인천,48.83333333,,2381,2902608,0.000820297
146,2015,인천,51.66666667,29.16666667,2703,2925815,0.000923845
147,2016,인천,49.58333333,26.41666667,2976,2943069,0.001011189
148,2017,인천,45.41666667,25,3516,2948542,0.001192454
149,2018,인천,39.5,22.25,3994,2954642,0.001351771
150,2019,인천,42.66666667,23.25,4469,2957026,0.001511316
151,2020,인천,33.25,18.08333333,4943,2942828,0.001679677
152,2009,전남,,,999,1913004,0.000522215
153,2010,전남,41.58333333,,1565,1918485,0.000815748
154,2011,전남,41.25,,1752,1914339,0.000915198
155,2012,전남,36,,2344,1909618,0.001227471
156,2013,전남,38.5,,2591,1907172,0.001358556
157,2014,전남,37.58333333,,2794,1905780,0.001466066
158,2015,전남,37.91666667,25,3040,1908996,0.00159246
159,2016,전남,36.75,23.58333333,3268,1903914,0.001716464
160,2017,전남,35.33333333,20.33333333,3666,1896424,0.001933112
161,2018,전남,35.16666667,20.5,4043,1882970,0.00214714
162,2019,전남,33.75,19.16666667,4429,1868745,0.00237004
163,2020,전남,27.83333333,15.25,4675,1851549,0.002524913
164,2009,전북,,,799,1854508,0.000430842
165,2010,전북,52.33333333,,1310,1868963,0.000700923
166,2011,전북,51,,1485,1874031,0.00079241
167,2012,전북,48.5,,2008,1873341,0.001071882
168,2013,전북,51.08333333,,2201,1872965,0.001175142
169,2014,전북,50.58333333,,2453,1871560,0.001310671
170,2015,전북,50,34,2629,1869711,0.0014061
171,2016,전북,50.75,31.5,2793,1864791,0.001497755
172,2017,전북,48.16666667,28.5,3147,1854607,0.001696855
173,2018,전북,43.91666667,25.25,3562,1836832,0.001939208
174,2019,전북,43.08333333,25.83333333,3887,1818917,0.002136986
175,2020,전북,33.16666667,20.5,4174,1804104,0.002313614
176,2009,제주,,,200,562663,0.000355453
177,2010,제주,48.41666667,,274,571255,0.000479646
178,2011,제주,42.16666667,,344,576156,0.000597061
179,2012,제주,33.91666667,,496,583713,0.000849733
180,2013,제주,40.25,,557,593806,0.000938017
181,2014,제주,46.58333333,,619,607346,0.001019188
182,2015,제주,44.16666667,24,676,624395,0.001082648
183,2016,제주,41.16666667,22,796,641597,0.001240654
184,2017,제주,36.75,21,907,657083,0.001380343
185,2018,제주,35,18.91666667,1027,667191,0.001539289
186,2019,제주,35,18.58333333,1112,670989,0.001657255
187,2020,제주,30.16666667,15.58333333,1223,674635,0.001812832
188,2009,충남,,,998,2037582,0.000489796
189,2010,충남,45.83333333,,1445,2075514,0.000696213
190,2011,충남,44.33333333,,1673,2101284,0.00079618
191,2012,충남,41,,2128,1070947,0.001987026
192,2013,충남,41.75,,2398,1084892,0.002210358
193,2014,충남,42.41666667,,2565,1109199,0.00231248
194,2015,충남,44.91666667,,2801,1144266.5,0.002447856
195,2016,충남,46.95833333,24.1875,3109,1169887.5,0.00265752
196,2017,충남,46,23.29166667,3564,1198435,0.002973878
197,2018,충남,41.08333333,21.41666667,3992,1220204,0.003271584
198,2019,충남,43.70833333,25.75,4384,1232142,0.003558031
199,2020,충남,36.375,20.41666667,4785,1238430,0.003863763
200,2009,충북,,,646,1527478,0.000422919
201,2010,충북,61.16666667,,912,1549528,0.000588566
202,2011,충북,56.16666667,,1096,1562903,0.000701259
203,2012,충북,51.08333333,,1466,1565628,0.000936365
